City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cidreira,98,BR,1600053846,89,-30.18,-50.21,65.73,8.81
1,nanortalik,52,GL,1600053847,74,60.14,-45.24,37.71,3.29
2,ushuaia,75,AR,1600053847,56,-54.8,-68.3,44.6,20.8
3,punta arenas,100,CL,1600053790,65,-53.15,-70.92,44.6,11.41
4,luderitz,0,NA,1600053847,67,-26.65,15.16,52.86,20.13
5,roebourne,1,AU,1600053847,20,-20.78,117.13,94.37,18.52
6,fene,100,ES,1600053548,72,43.45,-8.15,72.0,3.36
7,machiques,51,VE,1600053848,81,10.06,-72.55,77.61,3.94
8,faanui,34,PF,1600053848,76,-16.48,-151.75,78.62,8.52
9,atuona,2,PF,1600053848,75,-9.8,-139.03,78.62,15.23
10,nabire,97,ID,1600053842,78,-3.37,135.48,83.3,2.1
11,chokurdakh,82,RU,1600053848,43,70.63,147.92,57.81,7.18
12,fortuna,90,US,1600053849,100,40.6,-124.16,59.0,5.82
13,mahebourg,75,MU,1600053801,83,-20.41,57.7,69.8,12.75
14,port-gentil,100,GA,1600053262,82,-0.72,8.78,76.15,14.32
15,georgetown,20,MY,1600053849,79,5.41,100.34,84.2,4.7
16,lompoc,1,US,1600053607,87,34.64,-120.46,57.2,6.93
17,apricena,5,IT,1600053849,69,41.78,15.44,75.2,16.11
18,mataura,44,NZ,1600053850,84,-46.19,168.86,53.01,18.99
19,albany,93,US,1600053850,100,42.6,-73.97,64.0,5.12
20,kloulklubed,75,PW,1600053850,74,7.04,134.26,84.2,9.17
21,upernavik,92,GL,1600053850,94,72.79,-56.15,31.37,4.18
22,thompson,75,CA,1600053851,86,55.74,-97.86,41.0,5.82
23,fukue,20,JP,1600053851,65,32.69,128.84,80.6,6.93
24,makakilo city,1,US,1600053271,54,21.35,-158.09,87.8,11.41
25,straumen,98,NO,1600053727,93,63.87,11.3,52.0,12.75
26,tarbagatay,75,RU,1600053851,70,51.48,107.36,48.2,2.24
27,avarua,48,CK,1600053851,64,-21.21,-159.78,73.4,8.05
28,mount gambier,40,AU,1600053162,58,-37.83,140.77,59.0,12.75
